2023-08-24 17:37:01.748 [info] [Info  - 5:37:01 PM] (8133) Pylance language server 2023.8.30 (pyright 634c8074) starting
2023-08-24 17:37:01.749 [info] [Info  - 5:37:01 PM] (8133) Server root directory: /home/blackbird/.vscode/extensions/ms-python.vscode-pylance-2023.8.30/dist
2023-08-24 17:37:01.749 [info] [Info  - 5:37:01 PM] (8133) Starting service instance "Regression"
2023-08-24 17:37:01.833 [info] [Info  - 5:37:01 PM] (8133) Setting pythonPath for service "Regression": "/usr/bin/python3"
2023-08-24 17:37:01.833 [info] [Warn  - 5:37:01 PM] (8133) stubPath /home/blackbird/Documents/CodingProjects/Regression/typings is not a valid directory.
2023-08-24 17:37:01.874 [info] [Info  - 5:37:01 PM] (8133) Assuming Python version 3.6
2023-08-24 17:37:06.105 [info] [Info  - 5:37:06 PM] (8133) Found 21130 source files
2023-08-24 17:37:06.140 [info] [Info  - 5:37:06 PM] (8133) Starting service instance "Regression"
2023-08-24 17:37:06.160 [info] [Info  - 5:37:06 PM] (8133) Setting pythonPath for service "Regression": "/home/blackbird/Documents/CodingProjects/Regression/envs/bin/python"
2023-08-24 17:37:06.160 [info] [Warn  - 5:37:06 PM] (8133) stubPath /home/blackbird/Documents/CodingProjects/Regression/typings is not a valid directory.
2023-08-24 17:37:06.198 [info] [Info  - 5:37:06 PM] (8133) Assuming Python version 3.11
2023-08-24 17:37:09.954 [info] [Info  - 5:37:09 PM] (8133) Found 21218 source files
2023-08-24 17:37:13.319 [info] [Info  - 5:37:13 PM] (8133) [BG(2)] Long operation: getSemanticTokens full at /home/blackbird/Documents/CodingProjects/Regression/boston.ipynb:pylance-notebook-cell:W0sZmlsZQ==.py (3280ms)
2023-08-24 17:37:18.346 [info] [Info  - 5:37:18 PM] (8133) [IDX(3)] Long operation: index execution environment /home/blackbird/Documents/CodingProjects/Regression (5802ms)
2023-08-24 17:37:18.347 [info] [Info  - 5:37:18 PM] (8133) [IDX(3)] Long operation: index packages /home/blackbird/Documents/CodingProjects/Regression (5914ms)
